Name,Group,Variant,Type,Station Unlocked,Console,Tab,Special Unlock,Price,Build Cost,Short Description,In Game Description,Description
Gravity Tether Lvl 1,Gravity Tether,Lvl 1,Tool,Cube Corp,Command Bot,Tools,Default,,,Drags resources,"A handheld device, capable of repositioning equipment & resources.","Allows the command bot to grab and pull apart resource containing rocks and clusters. It can also grab and move resources, crates and equipment. It acts like a spring when doing so."
Gravity Tether Lvl 2,Gravity Tether,Lvl 2,Tool,Cube Corp,Command Bot,Tools,,800,,Moves resources in desired direction,"A handheld device, capable of repositioning equipment & resources. Advanced version features improved handling capabilities.","Allows the command bot to grab and pull apart resource containing rocks and clusters. It can also grab and move resources, crates and equipment. It allows the command bot to control the direction the held item is moved in."
Mining Laser Lvl 1,Mining Laser,Lvl 1,Tool,Cube Corp,Command Bot,Tools,,200,,"Breaks rocks, resource clusters and plants","Handheld mining laser, used to clear surface rocks and free valuable minerals. Generates Heat with use.","Can be fired at rocks, resource clusters and plants to break them apart. Can also cause some damage to pirates and structures. Generates heat while being fired. Rocks drop raw iron."
Mining Laser Lvl 2,Mining Laser,Lvl 2,Tool,TW Gems,Command Bot,Tools,,2300,,"Breaks rocks, resource clusters and plants, mined rocks drop molten iron",Handheld mining laser. Level 2 generates molten iron directly when breaking surface rock.,"Can be fired at rocks, resource clusters and plants to break them apart. Can also cause some damage to pirates and structures. Generates heat while being fired. Rocks drop molten iron that cools down to raw iron over time."
Blaster Lvl 1,Blaster,Lvl 1,Tool,Medusa Minerals,Command Bot,Tools,,600,,Deals damage to pirates and structures when they are hit,"A self-defence tool, used to deter pirate raids on asteroid operations. Generates Heat with use.","Defence blaster to fire at and destroy pirates. Produces heat when fired. Projectiles travel in the horizontal plane only, unless a pirate is targetted, and also damage player owned structures when hit."
Resource Scanner,Resource Scanner,,Tool,Medusa Minerals,Command Bot,Tools,,1200,,Locates underground deposits in range,Tool that can detect resources underground.,"Used to detect underground resource deposits. When activated the sound and projected lines indicate the presence of a deposit. Large spacing indicate nothing in range, small spacing indicates a deposit in range, and no spacing at all indicates a deposit in the direction the tool is facing. The deposit is marked when the tool is facing it and is almost or completely above it."
Battery Pack,Battery Pack,,Modification,Cube Corp,Command Bot,Modifications,,600,,Energy capacity +25%,Increases maximum energy available to the Command Bot.,Increases the command bot energy capacity by 25%.
Jet Booster,Jet Booster,,Modification,Cube Corp,Command Bot,Modifications,,700,,Increases upwards momentum while in use,"Equips the bot with a jet booster, enabling advanced aerial maneuvering. Generates Heat with use.",Allows the command bot to use a booster mid air to gain upwards momentum and gain height. Produces heat while in use.
Armor Plating,Armor Plating,,Modification,Medusa Minerals,Command Bot,Modifications,,600,,"Armor +2, Move Speed -0.5",Basic armor plating that can absorb a degree of damage from impacts.,Provides +2 armor to reduce damage from pirate projectiles at the cost of -0.5 movement speed.
Equipment Hardpoint,Equipment Hardpoint,,Modification,Medusa Minerals,Command Bot,Modifications,,2400,,"Deployable carry capacity +1, Move Speed -0.5",Increases the amount of equipment the Command Bot can carry,Allows the command bot to carry 2 pieces of equipment instead of 1 at the cost of -0.5 movement speed.
Command Bot,Command Bot,,Bot,Cube Corp,Equipment,Equipment,,800,,Replacement Command Bot,A replacement Command Bot. Can only be purchased if previous bot was lost or destroyed. Debt purchasing authorized.,Replacement command bot in case it was destroyed or left behind. You can't do anything without it. You can only have one command bot. You can go into debt in order to buy the replacement.
Workerbot,Workerbot,,Bot,Cube Corp,Equipment,Equipment,,250,,Automated delivery and retrieval robot,An autonomous robotic helper that can carry resources back to the shuttle.,Workers collect tagged resource chunks and crates and bring them back to the shuttle.
Mining Turret,Mining Turret,,Deployable,Cube Corp,Equipment,Equipment,,400,,Portable mining laser turret,A deployable laser used for clearing rubble and mining resources on the asteroid surface.,An automated mining turret that will clear nearby rocks and break resource clusters. Can be picked up by the command bot and gravity tether and moved.
Portable Battery,Portable Battery,,Deployable,Medusa Minerals,Equipment,Equipment,,800,,Portable charging pad,A portable battery that can be taken with you into the field. Load back onto shuttle to recharge.,Provides a charging zone around it when placed. Has an internal charge that is used to recharge the command bot and is slightly larger than that of the command bot. This charge is refilled when it is stowed at the shuttle.
Forcefield,Forcefield,,Deployable,TW Gems,Equipment,Equipment,,1400,,Provides protection against projectiles and blocks pirate landings in range,"A defensive barrier that, once activated, blocks projectiles and prevents pirates from landing nearby",Creates a shield bubble when placed down. The shield blocks any pirate projectiles and blocks pods from landing inside it. Also blocks projectiles from the player. Takes some time to charge up the shield after being placed. After blocking 10 projectiles the shield collapses and needs to be recharged. Pirate bots can still drive through the shield unimpeded.
Standard Crane,Standard Crane,,Structure,Cube Corp,Equipment,Blueprints,Unlock Shuttle Forge,,25,Connects two surfaces for workerbots,Ability to build static cranes connecting various locations on the asteroid surface.,Can connect two separated surfaces and transports worker bots between them. Anchor points are set when building the crane and can be changed by interacting with it if it's idle. The crane grabber can be called when standing at an anchor to call the grabber to it. Interacting with the grabber will transport the command bot.
Mining Emplacement,Mining Emplacement,,Structure,Cube Corp,Equipment,Blueprints,,1000,40,Static mining laser turret,Ability to build a static mining turret that can be built on the surface of the asteroid.,Static mining laser turret. Has more range and a faster mining speed compared to a portable miner.
Molten Iron Forge,Molten Iron Forge,,Structure,Medusa Minerals,Equipment,Blueprints,,500,40,Melts raw iron into building materials,Ability to build a forge that heats regular iron to make it molten,An external forge that has a melting chamber capacity of 60 iron plus 200 more in reserve. Melts raw iron at a rate of 1/s.
Resource Drill,Resource Drill,,Structure,Medusa Minerals,Equipment,Blueprints,,2500,30,Extracts underground deposits over time,Unlock ability to construct drill that retrieves resources from deep in the ground,Digs up resource chunks from an underground deposit. This is done at a rate of ~60 kg/min in chunks of ~25 kg each. In the data view the drill will indicate the resource in the deposit and the remaining quantity.
Surface Crusher,Surface Crusher,,Structure,Medusa Minerals,Equipment,Blueprints,,3500,50,Compacts resource chunks into crates,Unlock ability to construct a crusher that can package chunks into more efficient storage containers,"Compacts resource chunks by extracting the kgs and putting them into crates. Has a working inventory that ejects a crate when it goes over 200. Chunks take some time to process, while the inventory dropped of by workers is instantly added to the working inventory."
Defence Emplacement,Defence Emplacement,,Structure,TW Gems,Equipment,Blueprints,,1200,45,Static turret that shoots nearby pirate units,Ability to build static defence turret that can be built on the surface of the asteroid to protect your operation.,"Static defence turret that shoots at nearby pirates. Targets pirate bots and heist pods, but not drop pods."
Workerbot Relay,Workerbot Relay,,Structure,TW Gems,Equipment,Blueprints,,2000,20,Idle workers will move and wait here,Relay station for your workerbots to station themselves further into the asteroid surface.,Idle workers will populate the furthest relay with empty spots and will be called upon first if a task close to the relay becomes available.
Workerbot Worksite,Workerbot Worksite,,Structure,TW Gems,Equipment,Blueprints,,2500,25,Assigned workers only work in a designated region,Designate a site and assign worker bots to remain and focus all their effort in one area on the asteroid.,Designates a region where only the workers asigned to the worksite will perform tasks. Any resources and crates in the region will be moved outside of it.
Gravity Well,Gravity Well,,Structure,TW Gems,Equipment,Blueprints,,4000,60,Stops the asteroid from moving at the cost of resources,The Gravity Well consumes mass to create a microscopic black hole like phenomenon that will stop the asteroid from moving for a certain time.,Stops the asteroid and thus the claim timer while active. Consumes 2kg of any resource to stop time for 1 second. Requires 120kg of stored mass to be activated. Mass cen be deposited manually or by placing a chunk or crate above it.
Carbonator,Carbonator,,Manufacturing,Medusa Minerals,Equipment,Manufacturing,Unlock Manufacturing Bay,,,Processes organic compounds,"Manufacturing Machine that processes Biomass and Carbon resources. Produces Resin, Carbon, Polymers and Graphite","Recipes focus on converting biomass, and to a lesser extend carbon, to more compact and valuable products."
Converter,Converter,,Manufacturing,Medusa Minerals,Equipment,Manufacturing,,1000,,Combines resources into more valuable products,"Manfacturing Machine that produces more complex elements. Produces: Plastics, Steel Rods, Carbon Fiber, Copper Wire, Fiber Optic Strands",Combines resources into more valuable products.
Crusher,Crusher,,Manufacturing,TW Gems,Equipment,Manufacturing,,1500,,Crushes gems into dust,Manufacturing Machine that allows you to crush certain resources down to a fine dust.,Crushes down any gem into gem dust.